Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xfe3673b1cb6a0c675836a1f5f43292dfa07a5195e600af56673ee8fa396ed1d5

Moon Base (Top Place)
https://polygonscan.com/tx/0x8d0841ec5dec0e38bde8ffbdf0d168e12520966de6954400a03cdfea2c405d99

Side Comp coderPunk - [Highest Net Worth which is also a Palindrome]
https://etherscan.io/tx/0xa86fa0eea711a5f38403243ad12dfeea0c7d3a12a0ca1b72a04b6a18ef431159
https://etherscan.io/tx/0xb45765a5bacf943858515266aa7fa6990871f5eefe71b4440ecfc92008d5bfab
https://etherscan.io/tx/0xc3f1ae1623a40a2182a222d9dc23839b7e93a6f1a969731503c0ce561c052254

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 2,500
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,500
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,500
0xbFbA777a1951497373f841Af9a9E35F67c20ba9b : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0xDc917e79F85Ae4Ad46284Efdec520b21A5a52E7f : 2,500
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 2,500
